,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t112,12.37122,3.447858,2.9681742,2.2493796,5.099507,5.232057,3.5221162,6.522514,5.2874045,4.763787,2.8564205,1.8921689,1.7931662,6.016386,3.3960917,6.066572,6.6211586,7.15822
t113,9.821211,14.880827,2.9026186,6.4901233,1.7836316,4.461198,2.2323651,3.3290503,6.119732,6.54774,2.1181507,3.697869,6.673125,2.360356,6.9441924,6.49214,6.36963,1.7644317
t114,10.373112,4.4713116,11.346379,4.922596,6.0588446,7.312435,5.267619,5.1695795,3.0421777,5.9842815,3.7884233,4.985517,2.132276,2.295048,7.3801866,5.547453,5.901239,4.576217
t115,12.355154,3.4469628,3.0201733,2.2967808,5.1340346,5.253194,3.5506783,6.552976,5.3107667,4.7453184,2.8466916,1.9175389,1.8286226,6.005451,3.4240687,6.09398,6.6199327,7.206796
t116,10.214841,4.4508696,11.22318,4.7558246,6.024721,7.409127,5.270152,5.3448157,3.0245597,5.782935,3.9098358,5.1607533,2.0881226,2.3296945,7.2913923,5.5829754,5.7935104,4.445239
t117,10.215726,4.529762,11.164731,4.690355,5.927548,7.399015,5.2085547,5.3825665,3.045362,5.7506194,3.8872876,5.1972,2.073456,2.3885677,7.257653,5.550295,5.8310328,4.417498
t118,-4.7717137,6.161042,5.284406,5.486054,3.8473299,5.771347,3.5068462,7.102914,3.8745072,6.4943266,3.2096539,5.1685295,3.000904,6.5589223,5.5319386,5.684004,7.0268784,3.8797932
t119,9.762106,14.8051405,2.8869793,6.485153,1.7517953,4.251132,2.159238,3.2988317,6.0628085,6.625303,2.1131024,3.778473,6.657436,2.2289603,6.8173866,6.3463893,6.396539,1.6524365
t120,9.829694,14.826401,2.8455396,6.4779315,1.7607654,4.1695747,2.182869,3.329218,5.997405,6.6533504,2.0075257,3.870925,6.714533,2.2695103,6.8067904,6.300117,6.3136253,1.6433438
t121,-4.6366,5.899762,5.5647182,5.226955,3.9306023,6.225046,3.9181209,7.466421,3.810936,6.45971,2.8017786,5.4025407,3.0255773,6.228277,5.2528377,5.5756574,6.6582503,3.4399867
t122,12.269412,3.3099363,3.0125058,2.3312633,4.9630594,5.2765436,3.5947719,6.630761,5.2119975,4.689246,2.7705946,1.9633063,1.8571477,6.001158,3.466003,6.1567726,6.46416,7.0312715
t123,12.280541,3.3350227,3.1045732,2.3851388,5.0089498,5.318816,3.655484,6.6345534,5.225362,4.628634,2.745212,2.014896,1.8272133,6.020009,3.511841,6.186943,6.442078,7.0651627
t124,9.735973,14.798745,2.8703206,6.479823,1.7790685,4.1883445,2.11981,3.2366195,5.904985,6.6929164,2.0719464,3.9590108,6.4753942,2.1534555,6.738923,6.170787,6.416017,1.405763
t125,-4.2681007,6.0282187,5.3470364,5.0170636,3.995553,5.991065,3.6552975,7.3152122,3.7293608,6.2149897,2.6004007,5.3735375,3.1044235,6.025992,5.033872,5.6552906,6.896439,3.5907469
t126,-4.826023,5.434671,6.402177,4.816757,4.0576873,6.791243,4.3670325,7.433954,2.7216852,6.3023143,1.9482596,6.0214396,3.1651433,6.258405,4.285471,6.2708163,6.2395434,3.249848
t127,-4.80324,5.454984,6.376982,4.830694,4.063263,6.766596,4.3486958,7.445997,2.762617,6.3099856,1.9743239,5.995803,3.170631,6.2358956,4.3309655,6.2274594,6.2636204,3.2553334
t128,11.929611,2.9473066,4.3654737,3.454829,5.312413,6.033017,4.4090023,7.2510304,5.2033124,3.8321512,2.2404037,3.021884,2.1203728,6.0406523,4.228456,6.803132,5.661422,6.7991834
t129,11.86283,2.969782,4.4064994,3.500379,5.381225,6.1053743,4.478751,7.2482147,5.218081,3.798874,2.170565,3.0727193,2.096268,6.0230412,4.2968407,6.878869,5.5992107,6.811159
t130,9.735644,14.978151,2.9792452,6.561063,1.669686,4.3429728,2.323901,3.366197,6.1831765,6.5008764,2.1070578,3.723539,6.726141,2.334791,6.9078317,6.5550075,6.336106,1.8546038
t131,10.299769,4.4426517,11.325855,4.8841786,6.051601,7.40198,5.2583847,5.211704,2.9849277,5.93257,3.853244,5.0863423,2.0651705,2.3003352,7.352319,5.5919394,5.9188504,4.497843
t132,12.344354,3.4331963,2.9343252,2.2367997,5.082893,5.1531796,3.4508557,6.541902,5.2620063,4.8012834,2.8996007,1.8617264,1.8716711,6.0143223,3.3927817,6.0228276,6.681585,7.191057
